p,b,0.95,
p,f,0.9,
p,v,0.85,
p,m,0.8,
p,w,0.6,
p,8,0.75,
p,t,0.85,
p,d,0.8,
p,s,0.75,
p,z,0.7,
p,c,0.77,affricate
p,n,0.65,
p,r,0.55,
p,l,0.45,
p,S,0.6,
p,Z,0.57,affricate
p,C,0.67,affricate
p,j,0.6,
p,T,0.7,
p,5,0.5,
p,y,0.3,
p,k,0.55,
p,g,0.5,
p,x,0.45,
p,N,0.35,
p,q,0.4,
p,X,0.3,
p,h,0.2,
p,7,0.25,
p,L,0.3,
p,4,0.7,
p,G,0.35,
p,!,0.15,
p,i,0.1,
p,e,0.1,
p,E,0.1,
p,3,0.1,
p,a,0.1,
p,u,0.1,
p,o,0.1,
b,f,0.85,
b,v,0.9,
b,m,0.8,
b,w,0.6,
b,8,0.7,
b,t,0.8,
b,d,0.85,
b,s,0.7,
b,z,0.75,
b,c,0.77,affricate
b,n,0.65,
b,r,0.55,
b,l,0.45,
b,S,0.55,
b,Z,0.67,affricate
b,C,0.57,affricate
b,j,0.6,
b,T,0.65,
b,5,0.5,
b,y,0.3,
b,k,0.5,
b,g,0.55,
b,x,0.4,
b,N,0.35,
b,q,0.35,
b,X,0.3,
b,h,0.2,
b,7,0.25,
b,L,0.3,
b,4,0.7,
b,G,0.4,
b,!,0.15,
b,i,0.1,
b,e,0.1,
b,E,0.1,
b,3,0.1,
b,a,0.1,
b,u,0.1,
b,o,0.1,
f,v,0.95,
f,m,0.9,
f,w,0.8,
f,8,0.85,
f,t,0.75,
f,d,0.7,
f,s,0.85,
f,z,0.8,
f,c,0.78,afrricate
f,n,0.75,
f,r,0.65,
f,l,0.55,
f,S,0.83,
f,Z,0.78,
f,C,0.78,
f,j,0.75,
f,T,0.6,
f,5,0.6,
f,y,0.4,
f,k,0.45,
f,g,0.4,
f,x,0.55,
f,N,0.45,
f,q,0.25,
f,X,0.35,
f,h,0.3,
f,7,0.2,
f,L,0.4,
f,4,0.7,
f,G,0.2,
f,!,0.15,
f,i,0.1,
f,e,0.1,
f,E,0.1,
f,3,0.1,
f,a,0.1,
f,u,0.1,
f,o,0.1,
v,m,0.9,
v,w,0.8,
v,8,0.85,
v,t,0.7,
v,d,0.75,
v,s,0.8,
v,z,0.85,
v,c,0.72,
v,n,0.75,
v,r,0.65,
v,l,0.55,
v,S,0.78,
v,Z,0.83,
v,C,0.72,
v,j,0.8,
v,T,0.55,
v,5,0.6,
v,y,0.4,
v,k,0.4,
v,g,0.45,
v,x,0.5,
v,N,0.45,
v,q,0.2,
v,X,0.35,
v,h,0.3,
v,7,0.2,
v,L,0.4,
v,4,0.7,
v,G,0.25,
v,!,0.15,
v,i,0.1,
v,e,0.1,
v,E,0.1,
v,3,0.1,
v,a,0.1,
v,u,0.1,
v,o,0.1,
m,w,0.85,
m,8,0.75,
m,t,0.65,
m,d,0.65,
m,s,0.75,
m,z,0.75,
m,c,0.75,
m,n,0.9,
m,r,0.75,
m,l,0.65,
m,S,0.7,
m,Z,0.7,
m,C,0.6,
m,j,0.6,
m,T,0.55,
m,5,0.8,
m,y,0.5,
m,k,0.3,
m,g,0.3,
m,x,0.4,
m,N,0.7,
m,q,0.2,
m,X,0.2,
m,h,0.2,
m,7,0.15,
m,L,0.5,
m,4,0.85,
m,G,0.2,
m,!,0.15,
m,i,0.1,
m,e,0.1,
m,E,0.1,
m,3,0.1,
m,a,0.1,
m,u,0.1,
m,o,0.1,
w,8,0.65,
w,t,0.55,
w,d,0.55,
w,s,0.65,
w,z,0.65,
w,c,0.55,
w,n,0.55,
w,r,0.75,
w,l,0.85,
w,S,0.65,
w,Z,0.65,
w,C,0.55,
w,j,0.45,
w,T,0.45,
w,5,0.5,
w,y,0.7,
w,k,0.3,
w,g,0.3,
w,x,0.3,
w,N,0.4,
w,q,0.2,
w,X,0.2,
w,h,0.2,
w,7,0.15,
w,L,0.6,
w,4,0.55,
w,G,0.2,
w,!,0.15,
w,i,0.1,
w,e,0.1,
w,E,0.1,
w,3,0.1,
w,a,0.1,
w,u,0.9,
w,o,0.6,
8,t,0.9,
8,d,0.9,
8,s,0.9,
8,z,0.9,
8,c,0.88,
8,n,0.85,
8,r,0.75,
8,l,0.65,
8,S,0.85,
8,Z,0.85,
8,C,0.63,
8,j,0.6,
8,T,0.6,
8,5,0.5,
