f	i	-3.07517
f	p	-3.45525
f	g	-5.12381
f	3	-4.87815
f	z	-4.44791
f	t	-3.90023
f	w	-2.0251
f	m	-3.33882
f	a	-1.55344
f	o	-2.9442
f	k	-3.03629
f	f	-2.24587
f	n	-3.58413
f	y	-3.98922
f	E	-4.72955
f	u	-2.84844
f	N	-5.41284
f	e	-3.50148
f	r	-5.39892
f	c	-4.85054
f	s	-3.40386
f	b	-3.46665
f	h	-5.81793
f	l	-4.63946
f	5	-4.76796
f	C	-5.59382
f	j	-4.98908
f	S	-5.03469
f	d	-5.15485
f	T	-6.03217
f	x	-5.04905
f	v	-4.54902
o	3	-5.08661
o	g	-3.74643
o	d	-4.22955
o	e	-3.81941
o	i	-2.89105
o	u	-2.19889
o	s	-3.43431
o	o	-1.33404
o	n	-2.68481
o	f	-4.8526
o	t	-3.49789
o	l	-3.39936
o	k	-3.51655
o	w	-3.28798
o	N	-3.91959
o	E	-4.76478
o	5	-5.02327
o	b	-3.4087
o	a	-2.59651
o	y	-4.14058
o	p	-4.52921
o	m	-3.14593
o	r	-4.81802
o	c	-4.94557
o	h	-4.78006
o	z	-4.68994
7	e	-2.6765
7	t	-3.49747
7	N	-3.63086
7	m	-2.36664
7	p	-4.95192
7	u	-3.34742
7	r	-5.82738
7	3	-4.4375
7	a	-2.6865
7	o	-1.64896
7	f	-4.66788
7	i	-2.67469
7	k	-2.76117
7	w	-3.24689
7	g	-3.3832
7	j	-6.35316
7	c	-4.42765
7	n	-4.16241
7	s	-2.56975
7	y	-4.62608
7	l	-5.00919
7	b	-4.23527
7	E	-4.72504
7	h	-4.02391
7	7	-4.1595
7	C	-4.89561
7	d	-3.73092
7	T	-5.25232
7	5	-4.78465
7	x	-5.41213
7	S	-4.56443
7	z	-5.57964
7	v	-6.06129
k	N	-3.59603
k	T	-5.43152
k	y	-4.53508
k	n	-4.04738
k	3	-5.18615
k	u	-2.95588
k	x	-4.59876
k	w	-4.32756
k	l	-3.49771
k	k	-1.51222
k	a	-1.86791
k	o	-2.3845
k	e	-3.28018
k	b	-3.50706
k	m	-4.52069
k	r	-5.15071
k	h	-4.44488
k	t	-3.66211
k	E	-4.71176
k	p	-3.57769
k	f	-4.16321
k	i	-3.04207
k	v	-5.92266
k	j	-5.15714
k	c	-4.49961
k	g	-2.91711
k	s	-3.55449
k	d	-4.03646
k	C	-5.44458
k	z	-4.81991
m	n	-2.93908
m	l	-3.52249
m	b	-3.54428
m	w	-3.13174
m	m	-1.03055
m	a	-2.80092
m	o	-2.24004
m	e	-2.5694
m	u	-3.82189
m	E	-3.94682
m	i	-2.48302
u	g	-4.66357
u	j	-5.7978
u	n	-2.78629
u	k	-3.66384
u	l	-3.39544
u	e	-3.52929
u	y	-4.71746
u	c	-4.66382
u	w	-2.85996
u	d	-4.30061
u	m	-3.72062
u	o	-1.78628
u	t	-2.80611
